,Script,Group,Participants,Gwet,Gwet p,Response total (mean)
0,Cyrillic,Non-designers,361,.55,<.001,45.1
1,Cyrillic,Other designers,30,.53,<.001,3.8
2,Cyrillic,Graphic designers,74,.57,<.001,9.2
3,Cyrillic,Typographers,17,.62,<.001,2.1
4,Cyrillic,Letter designers,27,.55,<.001,3.4
5,Cyrillic,All designers,148,.57,<.001,18.5
6,Cyrillic,Everyone,509,.56,<.001,63.6
7,Devanagari,Non-designers,345,.48,<.001,43.1
8,Devanagari,Other designers,38,.47,<.001,4.8
9,Devanagari,Graphic designers,21,.45,<.001,2.6
10,Devanagari,Typographers,10,.34,<.001,1.2
11,Devanagari,Letter designers,18,.61,<.001,2.2
12,Devanagari,All designers,87,.48,<.001,10.9
13,Devanagari,Everyone,432,.48,<.001,54.0
14,Latin,Non-designers,395,.59,<.001,32.9
15,Latin,Other designers,81,.56,<.001,6.8
16,Latin,Graphic designers,166,.61,<.001,13.8
17,Latin,Typographers,49,.55,<.001,4.1
18,Latin,Letter designers,89,.63,<.001,7.4
19,Latin,All designers,385,.60,<.001,32.1
20,Latin,Everyone,780,.60,<.001,65.0
