,Script,Group,Participants,Gwet,Gwet p,Entropy,Response total (mean)
0,Cyrillic,Fluent,482,0.55,0.000,0.85 ± 0.002,60.2
1,Cyrillic,Non-fluent,27,0.60,0.000,0.84 ± 0.008,3.4
2,Cyrillic,Native,472,0.55,0.000,0.85 ± 0.002,59.0
3,Cyrillic,Non-native,37,0.58,0.000,0.84 ± 0.007,4.6
4,Cyrillic,Non-designers,361,0.55,0.000,0.85 ± 0.003,45.1
5,Cyrillic,Designers,121,0.58,0.000,0.84 ± 0.005,15.1
6,Cyrillic,Letter designers,27,0.55,0.000,0.84 ± 0.009,3.4
7,Devanagari,Fluent,356,0.47,0.000,0.83 ± 0.003,44.5
8,Devanagari,Non-fluent,76,0.52,0.000,0.83 ± 0.005,9.5
9,Devanagari,Native,259,0.47,0.000,0.83 ± 0.003,32.4
10,Devanagari,Non-native,173,0.50,0.000,0.83 ± 0.004,21.6
11,Devanagari,Non-designers,345,0.48,0.000,0.83 ± 0.003,43.1
12,Devanagari,Designers,69,0.46,0.000,0.83 ± 0.006,8.6
13,Devanagari,Letter designers,18,0.61,0.000,0.84 ± 0.010,2.2
14,Latin,Fluent,778,0.60,0.000,0.84 ± 0.002,64.8
15,Latin,Non-fluent,2,—,—,—,—
16,Latin,Native,744,0.60,0.000,0.84 ± 0.002,62.0
17,Latin,Non-native,36,0.57,0.000,0.83 ± 0.010,3.0
18,Latin,Non-designers,395,0.59,0.000,0.84 ± 0.002,32.9
19,Latin,Designers,296,0.59,0.000,0.83 ± 0.003,24.7
20,Latin,Letter designers,89,0.63,0.000,0.84 ± 0.006,7.4
