,Script,Group,Participants,Gwet,Gwet p,Entropy,Response total (mean)
0,Cyrillic,Fluent,482,0.55,0.000,0.85 ± 0.002,60.2
1,Cyrillic,Non-fluent,27,0.60,0.000,0.84 ± 0.008,3.4
2,Cyrillic,Native,472,0.55,0.000,0.85 ± 0.002,59.0
3,Cyrillic,Non-native,37,0.58,0.000,0.84 ± 0.007,4.6
4,Cyrillic,Non-designers,361,0.55,0.000,0.85 ± 0.003,45.1
5,Cyrillic,Other designers,30,0.53,0.000,0.84 ± 0.009,3.8
6,Cyrillic,Graphic designers,74,0.57,0.000,0.83 ± 0.007,9.2
7,Cyrillic,Typographers,17,0.62,0.000,0.84 ± 0.015,2.1
8,Cyrillic,Letter designers,27,0.55,0.000,0.84 ± 0.009,3.4
9,Cyrillic,Designers,148,0.57,0.000,0.84 ± 0.004,18.5
10,Devanagari,Fluent,356,0.47,0.000,0.83 ± 0.003,44.5
11,Devanagari,Non-fluent,76,0.52,0.000,0.83 ± 0.005,9.5
12,Devanagari,Native,259,0.47,0.000,0.83 ± 0.003,32.4
13,Devanagari,Non-native,173,0.50,0.000,0.83 ± 0.004,21.6
14,Devanagari,Non-designers,345,0.48,0.000,0.83 ± 0.003,43.1
15,Devanagari,Other designers,38,0.47,0.000,0.84 ± 0.008,4.8
16,Devanagari,Graphic designers,21,0.45,0.000,0.82 ± 0.009,2.6
17,Devanagari,Typographers,10,0.34,0.000,0.82 ± 0.023,1.2
18,Devanagari,Letter designers,18,0.61,0.000,0.84 ± 0.010,2.2
19,Devanagari,Designers,87,0.48,0.000,0.83 ± 0.005,10.9
20,Latin,Fluent,778,0.60,0.000,0.84 ± 0.002,64.8
21,Latin,Non-fluent,2,—,—,—,—
22,Latin,Native,744,0.60,0.000,0.84 ± 0.002,62.0
23,Latin,Non-native,36,0.57,0.000,0.83 ± 0.010,3.0
24,Latin,Non-designers,395,0.59,0.000,0.84 ± 0.002,32.9
25,Latin,Other designers,81,0.56,0.000,0.83 ± 0.006,6.8
26,Latin,Graphic designers,166,0.61,0.000,0.83 ± 0.004,13.8
27,Latin,Typographers,49,0.55,0.000,0.83 ± 0.008,4.1
28,Latin,Letter designers,89,0.63,0.000,0.84 ± 0.006,7.4
29,Latin,Designers,385,0.60,0.000,0.83 ± 0.003,32.1
