,Typeface,Gwet,Entropy
0,arial,"(0.46, 0.57)","(2.814, 2.816)"
1,calibri,"(0.50, 0.63)","(2.817, 2.819)"
2,cambria,"(0.50, 0.64)","(2.706, 2.709)"
3,candara,"(0.50, 0.63)","(2.878, 2.879)"
4,century-schoolbook,"(0.49, 0.61)","(2.808, 2.810)"
5,courier-new,"(0.52, 0.64)","(2.877, 2.878)"
6,futura,"(0.54, 0.66)","(2.768, 2.770)"
7,georgia,"(0.51, 0.62)","(2.851, 2.853)"
8,pt-sans,"(0.49, 0.61)","(2.689, 2.692)"
9,pt-serif,"(0.46, 0.58)","(2.690, 2.693)"
10,times-new-roman,"(0.47, 0.59)","(2.801, 2.804)"
11,verdana,"(0.52, 0.61)","(2.660, 2.663)"
