,,deva.A,deva.I,deva.U,deva.E,deva.Ka,deva.Kha,deva.Ga,deva.Gha,deva.Nga,deva.Ca,deva.Cha,deva.Ja,deva.Jha,deva.Nya,deva.Tta,deva.Ttha,deva.Dda,deva.Ddha,deva.Nna,deva.Ta,deva.Tha,deva.Da,deva.Dha,deva.Na,deva.Pa,deva.Pha,deva.Ba,deva.Bha,deva.Ma,deva.Ya,deva.Ra,deva.La,deva.Va,deva.Sha,deva.Ssa,deva.Sa,deva.Ha
,,अ,इ,उ,ए,क,ख,ग,घ,ङ,च,छ,ज,झ,ञ,ट,ठ,ड,ढ,ण,त,थ,द,ध,न,प,फ,ब,भ,म,य,र,ल,व,श,ष,स,ह
deva.A,अ,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0
deva.I,इ,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
deva.U,उ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,12.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
deva.E,ए,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
deva.Ka,क,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
deva.Kha,ख,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0
deva.Ga,ग,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,12.0,6.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0
deva.Gha,घ,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0
deva.Nga,ङ,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
