,,,0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.zhe')",0.7681159420289855
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.yu')",0.6521739130434783
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.yu')",0.8260869565217391
cyrillic,arial,"('cyrl.u', 'cyrl.yu', 'cyrl.zhe')",0.4057971014492754
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.es')",0.6521739130434783
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.zhe')",0.7971014492753623
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.yu')",0.5362318840579711
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.er')",0.8840579710144928
cyrillic,arial,"('cyrl.er', 'cyrl.u', 'cyrl.yu')",0.6956521739130435
cyrillic,arial,"('cyrl.ef', 'cyrl.u', 'cyrl.zhe')",0.4492753623188406
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.zhe')",0.6231884057971014
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.u')",0.463768115942029
cyrillic,arial,"('cyrl.short-i', 'cyrl.u', 'cyrl.zhe')",0.5652173913043478
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.es')",0.6956521739130435
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.short-i')",0.7101449275362319
cyrillic,arial,"('cyrl.short-i', 'cyrl.yu', 'cyrl.zhe')",0.4057971014492754
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.zhe')",0.8405797101449275
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.zhe')",0.7391304347826086
cyrillic,arial,"('cyrl.short-i', 'cyrl.u', 'cyrl.yu')",0.5072463768115942
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.es')",0.7681159420289855
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.short-i')",0.7536231884057971
cyrillic,arial,"('cyrl.es', 'cyrl.u', 'cyrl.yu')",0.8260869565217391
cyrillic,arial,"('cyrl.es', 'cyrl.yu', 'cyrl.zhe')",0.8405797101449275
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.u')",0.5652173913043478
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.zhe')",0.4782608695652174
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.u')",0.6231884057971014
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.u')",0.5072463768115942
cyrillic,arial,"('cyrl.ef', 'cyrl.short-i', 'cyrl.u')",0.6521739130434783
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.yu')",0.5362318840579711
cyrillic,arial,"('cyrl.em', 'cyrl.yu', 'cyrl.zhe')",0.7536231884057971
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.yu')",0.855072463768116
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.yu')",0.8260869565217391
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.zhe')",0.4927536231884058
cyrillic,arial,"('cyrl.ef', 'cyrl.u', 'cyrl.yu')",0.782608695652174
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.u')",0.6376811594202898
cyrillic,arial,"('cyrl.er', 'cyrl.u', 'cyrl.zhe')",0.6086956521739131
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.u')",0.5072463768115942
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.u')",0.8115942028985508
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.short-i')",0.8985507246376812
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.u')",0.5942028985507246
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.short-i')",0.6666666666666666
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.yu')",0.6666666666666666
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.zhe')",0.8405797101449275
cyrillic,arial,"('cyrl.ef', 'cyrl.short-i', 'cyrl.yu')",0.8115942028985508
cyrillic,arial,"('cyrl.er', 'cyrl.yu', 'cyrl.zhe')",0.8260869565217391
cyrillic,arial,"('cyrl.em', 'cyrl.u', 'cyrl.yu')",0.4927536231884058
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.u')",0.6231884057971014
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.zhe')",0.5072463768115942
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.short-i')",0.7101449275362319
