,pid,age,date,design skills,fluent in script,fluent languages,native in script,native languages,reading skills,script,typeface,triplet,response
0,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.i']",latn.i
1,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.n']",latn.f
2,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.p']",latn.f
3,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.q']",latn.f
4,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.w']",latn.w
5,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.f', 'latn.z']",latn.z
6,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.i', 'latn.n']",latn.i
7,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.i', 'latn.p']",latn.i
8,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.i', 'latn.q']",latn.i
9,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.i', 'latn.w']",latn.w
10,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.i', 'latn.z']",latn.z
11,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.n', 'latn.p']",latn.n
12,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.n', 'latn.q']",latn.n
13,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.n', 'latn.w']",latn.w
14,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.n', 'latn.z']",latn.z
15,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.p', 'latn.q']",latn.b
16,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.p', 'latn.w']",latn.w
17,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.p', 'latn.z']",latn.z
18,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.q', 'latn.w']",latn.w
19,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.q', 'latn.z']",latn.z
20,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.b', 'latn.w', 'latn.z']",latn.b
21,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.i', 'latn.n']",latn.f
22,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.i', 'latn.p']",latn.p
23,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.i', 'latn.q']",latn.i
24,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.i', 'latn.w']",latn.w
25,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.i', 'latn.z']",latn.z
26,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.n', 'latn.p']",latn.n
27,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.n', 'latn.q']",latn.f
28,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.n', 'latn.w']",latn.w
29,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.n', 'latn.z']",latn.z
30,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.p', 'latn.q']",latn.f
31,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.p', 'latn.w']",latn.w
32,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.p', 'latn.z']",latn.z
33,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.q', 'latn.w']",latn.w
34,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.q', 'latn.z']",latn.z
35,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.f', 'latn.w', 'latn.z']",latn.w
36,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.n', 'latn.p']",latn.i
37,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.n', 'latn.q']",latn.i
38,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.n', 'latn.w']",latn.w
39,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.n', 'latn.z']",latn.z
40,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.p', 'latn.q']",latn.i
41,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.p', 'latn.w']",latn.w
42,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.p', 'latn.z']",latn.z
43,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.q', 'latn.w']",latn.w
44,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.q', 'latn.z']",latn.z
45,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.i', 'latn.w', 'latn.z']",latn.w
46,0,31–40 years,2016-05-08 15:16:15 UTC,Letter designer,True,"german,english",True,german,Daily,latin,pt-sans,"['latn.n', 'latn.p', 'latn.q']",latn.n
