,,cyrl.a,cyrl.be,cyrl.ve,cyrl.ghe,cyrl.de,cyrl.ie,cyrl.io,cyrl.zhe,cyrl.ze,cyrl.i,cyrl.short-i,cyrl.ka,cyrl.el,cyrl.em,cyrl.en,cyrl.o,cyrl.pe,cyrl.er,cyrl.es,cyrl.te,cyrl.u,cyrl.ef,cyrl.ha,cyrl.tse,cyrl.che,cyrl.sha,cyrl.shcha,cyrl.hard-sign,cyrl.yeru,cyrl.soft-sign,cyrl.e,cyrl.yu,cyrl.ya
,,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
cyrl.a,а,,0.69,0.54,0.16,0.2,,0.58,0.25,,0.24,0.1,0.27,,,,,0.12,,,,,,0.1,0.13,0.43,0.12,0.08,0.41,0.37,0.43,,,0.65
cyrl.be,б,0.69,,,,,0.51,0.6,,0.44,0.04,0.12,,,0.06,0.07,,,,,,,0.66,,0.1,0.15,0.11,0.06,0.26,,,,,
cyrl.ve,в,0.54,,,,,,,,0.78,0.2,,,0.24,,,,,0.59,,0.24,0.04,,0.18,,0.33,,,0.47,0.43,0.56,0.57,,
cyrl.ghe,г,0.16,,,,0.66,0.13,0.08,0.18,,,,0.34,,,,0.13,0.8,,,0.89,,,0.44,,,,0.36,,,,0.11,,0.21
cyrl.de,д,0.2,,,0.66,,,0.08,0.21,,,,0.34,0.8,,,0.1,0.79,,0.1,,,,,0.8,,,,,,,,0.16,0.31
cyrl.ie,е,,0.51,,0.13,,,,,0.66,0.26,,,,0.14,0.17,0.8,0.11,,,0.1,,0.36,0.14,,0.32,,0.05,,,,0.88,,
cyrl.io,ё,0.58,0.6,,0.08,0.08,,,0.15,,,0.32,0.1,,,,,0.08,,,,,,,0.07,,0.06,0.09,0.22,,,,,0.25
cyrl.zhe,ж,0.25,,,0.18,0.21,,0.15,,,,0.36,0.8,,0.7,,,0.2,0.09,0.16,,0.31,0.17,,,,,,,,,,0.18,0.49
cyrl.ze,з,,0.44,0.78,,,0.66,,,,0.17,,,0.2,0.15,0.19,,,0.39,,0.17,0.07,0.36,0.16,,0.33,,,,,,0.81,,
cyrl.i,и,0.24,0.04,0.2,,,0.26,,,0.17,,,,,0.75,0.87,,,,,,,0.04,0.63,,0.41,,,0.11,0.22,0.15,,,
cyrl.short-i,й,0.1,0.12,,,,,0.32,0.36,,,,,,0.65,,,,0.07,0.17,,0.46,0.05,,0.51,,0.46,0.47,0.26,,,,0.13,
cyrl.ka,к,0.27,,,0.34,0.34,,0.1,0.8,,,,,0.5,,,0.03,0.32,,0.14,,,,,0.44,,,,,,,,0.37,0.57
cyrl.el,л,,,0.24,,0.8,,,,0.2,,,0.5,,,,0.05,,0.23,0.1,0.66,0.5,,0.45,0.67,,,,,,,0.15,0.15,0.47
cyrl.em,м,,0.06,,,,0.14,,0.7,0.15,0.75,0.65,,,,0.76,,,0.13,0.24,,0.44,0.09,,,0.44,,,,,,,0.22,
cyrl.en,н,,0.07,,,,0.17,,,0.19,0.87,,,,0.76,,,,,,,,0.07,,,0.6,,,,,,,,
cyrl.o,о,,,,0.13,0.1,0.8,,,,,,0.03,0.05,,,,0.14,,0.8,0.12,,,0.12,0.07,,,0.03,,,,0.69,0.57,0.18
cyrl.pe,п,0.12,,,0.8,0.79,0.11,0.08,0.2,,,,0.32,,,,0.14,,,,0.77,,,0.44,,,,0.45,,,,0.1,,0.2
cyrl.er,р,,,0.59,,,,,0.09,0.39,,0.07,,0.23,0.13,,,,,0.62,0.19,0.36,0.8,0.09,,,,,,,,0.42,0.64,
cyrl.es,с,,,,,0.1,,,0.16,,,0.17,0.14,0.1,0.24,,0.8,,0.62,,,0.19,0.43,,0.14,,,,,,,,0.54,0.14
cyrl.te,т,,,0.24,0.89,,0.1,,,0.17,,,,0.66,,,0.12,0.77,0.19,,,0.37,,0.5,,,,0.36,,,,0.11,,
cyrl.u,у,,,0.04,,,,,0.31,0.07,,0.46,,0.5,0.44,,,,0.36,0.19,0.37,,0.22,0.62,,,,,,,,0.11,0.14,
cyrl.ef,ф,,0.66,,,,0.36,,0.17,0.36,0.04,0.05,,,0.09,0.07,,,0.8,0.43,,0.22,,,,0.18,,,,,,,0.64,
cyrl.ha,х,0.1,,0.18,0.44,,0.14,,,0.16,0.63,,,0.45,,,0.12,0.44,0.09,,0.5,0.62,,,,0.27,,0.35,0.08,0.04,0.07,0.13,,
cyrl.tse,ц,0.13,0.1,,,0.8,,0.07,,,,0.51,0.44,0.67,,,0.07,,,0.14,,,,,,,0.73,0.86,0.39,,,,0.15,0.26
cyrl.che,ч,0.43,0.15,0.33,,,0.32,,,0.33,0.41,,,,0.44,0.6,,,,,,,0.18,0.27,,,,,0.24,0.21,0.26,,,
cyrl.sha,ш,0.12,0.11,,,,,0.06,,,,0.46,,,,,,,,,,,,,0.73,,,0.87,0.28,,,,,
cyrl.shcha,щ,0.08,0.06,,0.36,,0.05,0.09,,,,0.47,,,,,0.03,0.45,,,0.36,,,0.35,0.86,,0.87,,0.34,,,0.12,,
cyrl.hard-sign,ъ,0.41,0.26,0.47,,,,0.22,,,0.11,0.26,,,,,,,,,,,,0.08,0.39,0.24,0.28,0.34,,0.57,0.83,,,
cyrl.yeru,ы,0.37,,0.43,,,,,,,0.22,,,,,,,,,,,,,0.04,,0.21,,,0.57,,0.65,,,
cyrl.soft-sign,ь,0.43,,0.56,,,,,,,0.15,,,,,,,,,,,,,0.07,,0.26,,,0.83,0.65,,,,
cyrl.e,э,,,0.57,0.11,,0.88,,,0.81,,,,0.15,,,0.69,0.1,0.42,,0.11,0.11,,0.13,,,,0.12,,,,,,
cyrl.yu,ю,,,,,0.16,,,0.18,,,0.13,0.37,0.15,0.22,,0.57,,0.64,0.54,,0.14,0.64,,0.15,,,,,,,,,0.4
cyrl.ya,я,0.65,,,0.21,0.31,,0.25,0.49,,,,0.57,0.47,,,0.18,0.2,,0.14,,,,,0.26,,,,,,,,0.4,
