script,T1,T2,Shared triplets,FET (n),FET (%)
cyrillic,century-schoolbook,courier-new,1,1,100.0 %
cyrillic,pt-sans,pt-serif,1,0,0.0 %
devanagari,devanagari-mt,nirmala-ui,4,0,0.0 %
devanagari,lohit-devanagari,murty-hindi,1,1,100.0 %
latin,arial,times-new-roman,1,0,0.0 %
latin,calibri,candara,4,0,0.0 %
latin,calibri,century-schoolbook,56,5,8.9 %
latin,calibri,georgia,4,1,25.0 %
latin,calibri,verdana,1,0,0.0 %
latin,cambria,futura,4,0,0.0 %
latin,cambria,pt-sans,35,9,25.7 %
latin,cambria,pt-serif,4,0,0.0 %
latin,cambria,times-new-roman,1,0,0.0 %
latin,candara,century-schoolbook,4,1,25.0 %
latin,candara,georgia,56,17,30.4 %
latin,century-schoolbook,georgia,4,0,0.0 %
latin,century-schoolbook,verdana,1,0,0.0 %
latin,courier-new,verdana,1,1,100.0 %
latin,futura,pt-sans,1,0,0.0 %
latin,futura,pt-serif,56,25,44.6 %
latin,pt-sans,pt-serif,1,0,0.0 %
